TITULO;GRATUITO;FECHA;HORA;CONTENT-URL;NOMBRE-INSTALACION;CP;TIPO
'Compra inteligente y saludable: ¡Tú eliges!';1;20/11/2024;17:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=407bd44305b13910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal José Hierro (San Blas-Canillejas);28022;ConferenciasColoquios
'Crónica sentimental del nuevo régimen' de Álvaro Aguilera Fauró;1;29/11/2024;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=334219921a923910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'Cuentos al tuntún';1;04/12/2024;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2547de0e74002910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Aluche (Latina);28047;CuentacuentosTiteresMarionetas
'Cuentos de aquí, de allá y de todas partes';1;03/12/2024;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1fff2e98c8bf2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal La Elipa (Ciudad Lineal);28017;CuentacuentosTiteresMarionetas
'Cuentos de aquí, de allá y de todas partes';1;11/12/2024;21:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=40b4cda7c5842910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo);28029;CuentacuentosTiteresMarionetas
'Cuentos de enredos y travesuras';1;22/11/2024;22:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d36c5f33314d2910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal La Chata (Carabanchel);28025;CuentacuentosTiteresMarionetas
'Cuentos de una y otra vez';1;14/12/2024;23:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48a416164a4b2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal María Lejárraga (Hortaleza);28050;CuentacuentosTiteresMarionetas
'Cuentos del revés';1;12/12/2024;0:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=086b365177e33910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Vicálvaro;28032;CuentacuentosTiteresMarionetas
'Cuentos para ratonear un rato';1;12/12/2024;1:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f48116164a4b2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Canillejas (San Blas-Canillejas);28022;CuentacuentosTiteresMarionetas
'Danza en la biblioteca';1;20/11/2024;2:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=438c74752aa03910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;DanzaBaile
'De colores';1;03/12/2024;3:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=90199127a3443910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Ana María Matute (Carabanchel);28019;CuentacuentosTiteresMarionetas
'Detective fiction' Charlas en español;1;09/10/2024;4:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e749134c4bac0910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Mario Vargas Llosa (Centro);28004;RecitalesPresentacionesActosLiterarios
'Diario de una publicista' de Teresa Figueroa Carrión;1;29/11/2024;5:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5314485e2ae33910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Ángel González (Latina);28024;RecitalesPresentacionesActosLiterarios
'Dream snow';1;10/12/2024;6:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=91f79127a3443910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Pío Baroja (Arganzuela);28005;CuentacuentosTiteresMarionetas
'Dream snow';1;02/12/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ad69127a3443910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Mario Vargas Llosa (Centro);28004;CuentacuentosTiteresMarionetas
'El conejo blanco de Izan' de Irene Corral: presentación y taller de manualidades;1;13/12/2024;8:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2482e1a010643910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal);28017;CuentacuentosTiteresMarionetas
'El duende y la estrella';1;04/12/2024;9:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=36609127a3443910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro);28009;CuentacuentosTiteresMarionetas
'El extranjero pobre: memorias de José Luis Guirao, presidente de Fundación Agua de coco' de Luis Alberto González Arenas;1;26/11/2024;10:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=26fbf43764523910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'El fantasma al que le asustaban los libros';1;04/12/2024;11:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6f12e98c8bf2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal David Gistau (Salamanca);28028;CuentacuentosTiteresMarionetas
